person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
49,75422.0,MORTGAGE,0.0,MEDICAL,F,19336.0,13.8,0.26,Y,22.0,0
50,30614.0,OWN,7.0,PERSONAL,A,17474.0,13.83,0.57,N,6.0,0
36,26711.0,MORTGAGE,,VENTURE,C,33934.0,7.61,1.27,N,22.0,0
30,104406.0,OWN,4.0,EDUCATION,G,23178.0,11.92,0.22,N,11.0,1
39,27066.0,MORTGAGE,7.0,VENTURE,E,18593.0,16.95,0.69,N,28.0,0
28,54291.0,MORTGAGE,10.0,DEBTCONSOLIDATION,A,19644.0,18.42,0.36,N,8.0,0
21,42891.0,RENT,5.0,VENTURE,B,28458.0,23.14,0.66,N,12.0,1
56,10753.0,MORTGAGE,6.0,EDUCATION,G,28629.0,19.49,2.66,N,20.0,0
20,50882.0,OWN,9.0,PERSONAL,B,28963.0,17.54,0.57,N,4.0,0
23,44374.0,MORTGAGE,9.0,PERSONAL,B,31130.0,8.66,0.7,N,18.0,0
55,49293.0,MORTGAGE,0.0,MEDICAL,G,30659.0,11.82,0.62,N,13.0,0
44,13578.0,OTHER,5.0,PERSONAL,G,23553.0,18.34,1.73,N,3.0,0
22,96586.0,OWN,2.0,DEBTCONSOLIDATION,D,25602.0,13.89,0.27,N,10.0,0
28,91004.0,MORTGAGE,2.0,DEBTCONSOLIDATION,E,19938.0,18.99,0.22,Y,4.0,0
41,29229.0,RENT,2.0,VENTURE,B,18359.0,,0.63,N,16.0,0
42,78474.0,OTHER,5.0,DEBTCONSOLIDATION,G,28121.0,13.72,0.36,N,5.0,0
31,52886.0,RENT,7.0,EDUCATION,D,19129.0,11.38,0.36,N,2.0,0
29,23875.0,RENT,,MEDICAL,G,30187.0,,1.26,N,2.0,0
53,72742.0,OTHER,2.0,DEBTCONSOLIDATION,C,28109.0,13.27,0.39,Y,10.0,1
62,110731.0,RENT,2.0,MEDICAL,A,12038.0,17.42,0.11,N,22.0,0
29,100276.0,OWN,4.0,HOMEIMPROVEMENT,A,12256.0,6.71,0.12,N,29.0,1
49,89686.0,OWN,5.0,MEDICAL,G,33825.0,11.07,0.38,Y,2.0,1
41,19701.0,RENT,5.0,VENTURE,G,2224.0,,0.11,N,9.0,0
25,59121.0,OWN,6.0,EDUCATION,C,21761.0,10.62,0.37,N,26.0,0
21,33291.0,MORTGAGE,6.0,HOMEIMPROVEMENT,B,8290.0,19.78,0.25,N,3.0,0
49,104822.0,MORTGAGE,10.0,VENTURE,D,15893.0,12.46,0.15,N,8.0,0
21,34116.0,MORTGAGE,2.0,DEBTCONSOLIDATION,A,28827.0,20.94,0.84,N,10.0,0
51,15886.0,RENT,4.0,HOMEIMPROVEMENT,D,30593.0,18.45,1.93,Y,7.0,0
61,23672.0,RENT,0.0,HOMEIMPROVEMENT,A,24828.0,,1.05,N,15.0,0
35,24508.0,OWN,0.0,DEBTCONSOLIDATION,G,28122.0,8.3,1.15,N,16.0,0
31,104204.0,OWN,1.0,MEDICAL,B,25228.0,5.46,0.24,N,12.0,0
20,119306.0,OWN,,HOMEIMPROVEMENT,B,28518.0,12.98,0.24,N,27.0,0
27,84928.0,RENT,,PERSONAL,E,8672.0,14.38,0.1,N,20.0,0
32,47936.0,OWN,1.0,MEDICAL,B,29157.0,13.4,0.61,N,6.0,0
34,56190.0,MORTGAGE,6.0,EDUCATION,E,16361.0,11.95,0.29,Y,10.0,1
63,13281.0,MORTGAGE,4.0,PERSONAL,G,11353.0,18.36,0.85,Y,26.0,0
27,84346.0,OTHER,2.0,PERSONAL,B,12919.0,7.1,0.15,N,29.0,0
29,61864.0,OTHER,6.0,PERSONAL,G,20080.0,7.34,0.32,N,29.0,0
24,113258.0,OTHER,,DEBTCONSOLIDATION,G,18646.0,15.16,0.16,N,13.0,0
38,105386.0,MORTGAGE,2.0,EDUCATION,G,29699.0,5.97,0.28,N,5.0,0
57,112027.0,RENT,2.0,DEBTCONSOLIDATION,D,19896.0,12.49,0.18,N,14.0,1
30,109990.0,OWN,3.0,MEDICAL,E,12504.0,8.91,0.11,N,27.0,0
62,57659.0,OWN,4.0,HOMEIMPROVEMENT,G,2225.0,9.2,0.04,N,7.0,0
39,22924.0,RENT,7.0,MEDICAL,E,17006.0,14.04,0.74,Y,29.0,0
39,91559.0,OTHER,8.0,MEDICAL,G,15939.0,,0.17,N,6.0,0
40,74966.0,RENT,4.0,MEDICAL,D,23846.0,12.78,0.32,N,29.0,1
37,104044.0,MORTGAGE,7.0,DEBTCONSOLIDATION,C,26862.0,7.81,0.26,N,12.0,0
29,38468.0,RENT,2.0,PERSONAL,A,31461.0,13.79,0.82,N,11.0,1
53,38379.0,MORTGAGE,10.0,EDUCATION,B,4173.0,19.65,0.11,N,25.0,0
45,71654.0,MORTGAGE,6.0,VENTURE,A,33119.0,17.48,0.46,N,24.0,0
49,101465.0,OTHER,2.0,HOMEIMPROVEMENT,B,24959.0,14.65,0.25,Y,3.0,0
28,112543.0,OWN,,VENTURE,F,29447.0,7.95,0.26,N,21.0,1
50,67962.0,OTHER,,MEDICAL,E,30880.0,16.23,0.45,N,18.0,0
61,64255.0,MORTGAGE,9.0,HOMEIMPROVEMENT,F,4567.0,14.41,0.07,N,25.0,0
23,116849.0,OTHER,2.0,DEBTCONSOLIDATION,G,20376.0,20.11,0.17,Y,19.0,0
25,26664.0,OWN,3.0,MEDICAL,C,4998.0,8.14,0.19,N,14.0,0
33,23633.0,OTHER,1.0,HOMEIMPROVEMENT,E,7273.0,12.33,0.31,Y,2.0,1
23,54337.0,MORTGAGE,6.0,DEBTCONSOLIDATION,D,12933.0,7.21,0.24,N,28.0,0
45,14932.0,OWN,5.0,HOMEIMPROVEMENT,E,11513.0,14.75,0.77,N,3.0,0
58,26205.0,OTHER,10.0,PERSONAL,B,17625.0,21.5,0.67,N,9.0,0
36,95470.0,RENT,2.0,EDUCATION,D,33112.0,22.22,0.35,N,10.0,1
38,61111.0,OWN,0.0,MEDICAL,B,23461.0,5.96,0.38,Y,19.0,0
25,59541.0,OTHER,,EDUCATION,F,18355.0,11.99,0.31,N,28.0,0
48,80719.0,RENT,9.0,PERSONAL,G,19796.0,11.21,0.25,N,27.0,0
30,95787.0,OWN,2.0,VENTURE,A,10628.0,16.69,0.11,N,4.0,0
35,30744.0,RENT,3.0,HOMEIMPROVEMENT,B,12136.0,18.03,0.39,N,6.0,0
49,12053.0,OTHER,9.0,MEDICAL,C,24023.0,8.77,1.99,N,9.0,0
44,113312.0,RENT,0.0,HOMEIMPROVEMENT,B,6499.0,,0.06,N,22.0,1
59,18359.0,RENT,7.0,VENTURE,C,24886.0,,1.36,N,11.0,1
30,44934.0,MORTGAGE,1.0,EDUCATION,G,12113.0,5.87,0.27,N,2.0,1
26,50874.0,RENT,2.0,HOMEIMPROVEMENT,E,19113.0,15.63,0.38,N,20.0,0
45,74737.0,OWN,4.0,HOMEIMPROVEMENT,E,12473.0,,0.17,Y,8.0,0
41,22461.0,RENT,8.0,EDUCATION,F,26785.0,5.51,1.19,Y,3.0,0
44,119502.0,RENT,5.0,VENTURE,B,9163.0,,0.08,N,8.0,0
38,65424.0,OWN,2.0,PERSONAL,A,15529.0,13.55,0.24,N,4.0,1
50,31566.0,OTHER,2.0,EDUCATION,A,27413.0,16.28,0.87,Y,29.0,0
45,55006.0,OTHER,7.0,HOMEIMPROVEMENT,C,24922.0,18.81,0.45,N,20.0,0
61,103052.0,RENT,3.0,DEBTCONSOLIDATION,F,7955.0,20.85,0.08,N,10.0,0
60,68641.0,OWN,4.0,EDUCATION,F,27948.0,8.21,0.41,N,23.0,0
55,110949.0,RENT,3.0,EDUCATION,G,21647.0,12.47,0.2,N,13.0,0
42,56064.0,OWN,10.0,DEBTCONSOLIDATION,F,13944.0,,0.25,N,24.0,0
32,60368.0,OWN,8.0,HOMEIMPROVEMENT,B,31030.0,14.13,0.51,Y,23.0,0
44,107005.0,OTHER,7.0,EDUCATION,F,27337.0,,0.26,N,28.0,0
21,80163.0,RENT,6.0,PERSONAL,C,2513.0,15.52,0.03,N,20.0,0
21,21191.0,RENT,3.0,DEBTCONSOLIDATION,E,29937.0,11.25,1.41,N,19.0,0
35,109509.0,RENT,8.0,EDUCATION,B,7694.0,21.76,0.07,N,28.0,0
28,82239.0,RENT,10.0,DEBTCONSOLIDATION,B,3372.0,20.06,0.04,Y,22.0,0
47,92147.0,RENT,7.0,EDUCATION,B,10747.0,18.39,0.12,N,14.0,0
32,61765.0,RENT,7.0,EDUCATION,C,12755.0,12.31,0.21,Y,26.0,0
54,44904.0,MORTGAGE,9.0,MEDICAL,B,19163.0,6.34,0.43,N,11.0,0
60,33695.0,RENT,1.0,EDUCATION,F,21346.0,22.77,0.63,N,5.0,0
32,73205.0,MORTGAGE,4.0,MEDICAL,D,27137.0,17.48,0.37,N,14.0,0
50,16958.0,MORTGAGE,5.0,EDUCATION,C,31477.0,10.53,1.86,N,24.0,1
40,92169.0,MORTGAGE,5.0,HOMEIMPROVEMENT,G,9115.0,13.51,0.1,N,23.0,0
51,12272.0,RENT,8.0,HOMEIMPROVEMENT,F,27892.0,9.84,2.27,N,29.0,0
53,70294.0,OWN,3.0,PERSONAL,A,11980.0,18.61,0.17,Y,2.0,0
27,97958.0,OTHER,6.0,VENTURE,G,21757.0,16.89,0.22,N,26.0,1
60,13018.0,OWN,8.0,MEDICAL,A,34154.0,14.67,2.62,N,19.0,0
21,88496.0,OWN,4.0,VENTURE,D,5678.0,12.1,0.06,N,23.0,0
57,77751.0,RENT,10.0,VENTURE,A,6892.0,10.88,0.09,N,24.0,1
51,110461.0,OWN,5.0,PERSONAL,B,22624.0,19.89,0.2,Y,26.0,0
59,93716.0,OWN,0.0,PERSONAL,E,17265.0,12.41,0.18,Y,26.0,1
47,29628.0,RENT,6.0,PERSONAL,A,9332.0,13.9,0.31,Y,6.0,0
56,91406.0,RENT,4.0,VENTURE,F,7648.0,8.51,0.08,N,27.0,0
60,67198.0,OTHER,3.0,EDUCATION,C,27778.0,,0.41,N,27.0,0
20,10296.0,OTHER,2.0,DEBTCONSOLIDATION,G,31373.0,9.8,3.05,N,17.0,0
60,110231.0,MORTGAGE,0.0,PERSONAL,A,30312.0,8.44,0.27,N,21.0,1
29,24578.0,OTHER,4.0,HOMEIMPROVEMENT,G,22520.0,16.54,0.92,Y,18.0,0
23,23554.0,RENT,2.0,MEDICAL,D,3996.0,7.81,0.17,N,4.0,0
54,115725.0,OWN,7.0,EDUCATION,B,11910.0,22.83,0.1,N,12.0,0
29,31585.0,RENT,,PERSONAL,F,21439.0,,0.68,N,20.0,0
30,44225.0,RENT,3.0,HOMEIMPROVEMENT,A,12220.0,6.24,0.28,N,15.0,0
33,13546.0,OWN,2.0,PERSONAL,B,9260.0,,0.68,N,2.0,0
57,56622.0,OTHER,,HOMEIMPROVEMENT,F,28413.0,22.03,0.5,N,15.0,0
31,115665.0,OWN,0.0,PERSONAL,F,6986.0,15.18,0.06,N,6.0,0
64,37703.0,RENT,,DEBTCONSOLIDATION,F,28942.0,11.74,0.77,N,7.0,1
36,13664.0,OTHER,9.0,EDUCATION,D,22370.0,17.8,1.64,N,19.0,0
35,101701.0,RENT,1.0,PERSONAL,A,1328.0,12.05,0.01,Y,27.0,0
54,41099.0,RENT,9.0,EDUCATION,D,8496.0,,0.21,N,8.0,0
21,115958.0,OTHER,1.0,EDUCATION,B,31936.0,18.68,0.28,N,24.0,0
30,92015.0,OWN,0.0,VENTURE,G,5881.0,11.91,0.06,N,28.0,0
60,63084.0,MORTGAGE,7.0,EDUCATION,F,23370.0,22.88,0.37,Y,9.0,0
22,52319.0,OTHER,4.0,DEBTCONSOLIDATION,E,25523.0,,0.49,N,10.0,0
48,16140.0,RENT,1.0,DEBTCONSOLIDATION,E,32791.0,6.81,2.03,N,28.0,0
37,60891.0,RENT,7.0,DEBTCONSOLIDATION,C,27750.0,15.77,0.46,N,26.0,0
39,93272.0,OTHER,9.0,DEBTCONSOLIDATION,B,21168.0,7.21,0.23,N,3.0,0
33,75007.0,RENT,4.0,PERSONAL,A,11262.0,,0.15,N,13.0,0
53,32141.0,MORTGAGE,9.0,EDUCATION,D,34257.0,12.02,1.07,N,23.0,0
50,60694.0,OTHER,4.0,VENTURE,F,15556.0,22.75,0.26,Y,16.0,1
59,31628.0,RENT,1.0,PERSONAL,G,23234.0,21.44,0.73,Y,29.0,0
61,37243.0,MORTGAGE,7.0,MEDICAL,D,25334.0,14.59,0.68,Y,7.0,0
37,73747.0,RENT,2.0,PERSONAL,B,18856.0,11.73,0.26,N,12.0,0
49,92750.0,OTHER,3.0,PERSONAL,E,16793.0,23.04,0.18,Y,10.0,0
44,93525.0,OWN,4.0,PERSONAL,D,12194.0,11.79,0.13,N,6.0,0
38,96565.0,MORTGAGE,9.0,PERSONAL,C,7027.0,7.48,0.07,Y,2.0,0
27,75198.0,OTHER,8.0,VENTURE,B,10406.0,18.54,0.14,N,26.0,0
47,54770.0,OTHER,1.0,DEBTCONSOLIDATION,A,8870.0,20.17,0.16,N,27.0,1
27,17937.0,OTHER,7.0,EDUCATION,G,14451.0,,0.81,N,29.0,0
50,66004.0,OWN,4.0,HOMEIMPROVEMENT,G,4776.0,,0.07,N,2.0,0
22,105239.0,RENT,10.0,DEBTCONSOLIDATION,D,17545.0,13.05,0.17,N,3.0,1
22,55618.0,OWN,8.0,VENTURE,G,12439.0,8.95,0.22,Y,14.0,1
63,114820.0,OTHER,8.0,VENTURE,G,25172.0,21.32,0.22,N,20.0,0
41,92141.0,MORTGAGE,9.0,PERSONAL,F,34761.0,20.61,0.38,N,20.0,1
36,63103.0,RENT,,HOMEIMPROVEMENT,A,10571.0,,0.17,N,21.0,0
55,100642.0,OWN,2.0,PERSONAL,E,27368.0,20.12,0.27,N,25.0,0
36,16493.0,MORTGAGE,,EDUCATION,E,17721.0,9.9,1.07,N,12.0,1
33,108038.0,OTHER,8.0,PERSONAL,G,29229.0,,0.27,Y,24.0,0
28,107871.0,MORTGAGE,6.0,EDUCATION,A,13535.0,11.94,0.13,N,5.0,0
49,35957.0,MORTGAGE,8.0,VENTURE,D,817.0,20.09,0.02,Y,3.0,1
40,14117.0,OTHER,6.0,HOMEIMPROVEMENT,E,32879.0,8.06,2.33,N,26.0,1
31,113712.0,OWN,7.0,HOMEIMPROVEMENT,D,1926.0,8.79,0.02,N,21.0,0
56,109057.0,OTHER,3.0,EDUCATION,D,19232.0,,0.18,Y,5.0,0
51,22501.0,MORTGAGE,4.0,EDUCATION,E,23001.0,12.27,1.02,N,6.0,0
30,11188.0,OTHER,,MEDICAL,D,33828.0,8.07,3.02,N,17.0,0
39,57243.0,RENT,5.0,PERSONAL,C,23944.0,7.36,0.42,Y,9.0,1
54,42113.0,RENT,3.0,DEBTCONSOLIDATION,G,1286.0,13.85,0.03,N,15.0,0
30,66639.0,MORTGAGE,7.0,MEDICAL,E,30014.0,18.57,0.45,N,19.0,0
27,116904.0,OTHER,4.0,MEDICAL,A,30204.0,6.37,0.26,N,10.0,0
23,118981.0,MORTGAGE,2.0,MEDICAL,C,23086.0,18.62,0.19,N,4.0,1
46,76332.0,OTHER,0.0,DEBTCONSOLIDATION,A,22753.0,16.35,0.3,N,22.0,0
63,90372.0,RENT,0.0,DEBTCONSOLIDATION,G,25415.0,11.29,0.28,Y,18.0,1
59,80681.0,RENT,7.0,MEDICAL,E,7266.0,5.96,0.09,N,23.0,1
57,65829.0,MORTGAGE,2.0,HOMEIMPROVEMENT,B,32537.0,,0.49,N,6.0,0
49,60012.0,RENT,10.0,VENTURE,D,20016.0,12.12,0.33,N,24.0,0
63,112475.0,MORTGAGE,9.0,MEDICAL,F,34153.0,22.04,0.3,Y,10.0,0
46,83711.0,OWN,3.0,HOMEIMPROVEMENT,C,3600.0,14.76,0.04,N,13.0,0
40,77050.0,MORTGAGE,6.0,HOMEIMPROVEMENT,D,22750.0,15.54,0.3,Y,24.0,0
39,25451.0,OTHER,0.0,EDUCATION,C,1256.0,11.29,0.05,N,19.0,0
23,113240.0,OTHER,5.0,EDUCATION,B,8421.0,12.64,0.07,N,28.0,0
30,62086.0,OTHER,0.0,HOMEIMPROVEMENT,B,1234.0,17.17,0.02,N,25.0,0
32,58393.0,MORTGAGE,2.0,DEBTCONSOLIDATION,E,20799.0,13.74,0.36,N,25.0,0
28,92418.0,OWN,3.0,EDUCATION,F,23267.0,12.45,0.25,N,13.0,0
23,86969.0,MORTGAGE,10.0,PERSONAL,F,16169.0,5.93,0.19,N,10.0,1
31,11369.0,MORTGAGE,6.0,PERSONAL,A,15214.0,,1.34,N,26.0,0
28,24068.0,OWN,1.0,MEDICAL,F,11376.0,8.82,0.47,N,22.0,0
32,51658.0,RENT,7.0,HOMEIMPROVEMENT,C,28074.0,21.99,0.54,N,8.0,0
45,18116.0,RENT,5.0,PERSONAL,A,4102.0,9.99,0.23,N,19.0,1
57,53687.0,RENT,9.0,PERSONAL,B,6372.0,6.51,0.12,N,9.0,0
61,102362.0,RENT,1.0,HOMEIMPROVEMENT,G,26732.0,8.39,0.26,N,8.0,0
32,53453.0,RENT,2.0,MEDICAL,D,3868.0,,0.07,Y,21.0,0
58,41237.0,OWN,3.0,PERSONAL,G,7718.0,8.6,0.19,Y,10.0,0
47,15364.0,OWN,5.0,VENTURE,D,6637.0,9.72,0.43,Y,15.0,0
38,75626.0,MORTGAGE,0.0,HOMEIMPROVEMENT,F,2550.0,22.39,0.03,N,19.0,0
43,87622.0,RENT,4.0,HOMEIMPROVEMENT,G,4658.0,19.05,0.05,Y,21.0,0
38,86925.0,OTHER,7.0,PERSONAL,G,7065.0,9.43,0.08,N,26.0,1
32,26855.0,OWN,,DEBTCONSOLIDATION,E,28292.0,,1.05,N,18.0,0
32,114388.0,OWN,6.0,VENTURE,F,2925.0,16.9,0.03,N,22.0,0
47,117761.0,RENT,10.0,MEDICAL,D,29894.0,11.24,0.25,Y,27.0,1
21,102920.0,OTHER,2.0,HOMEIMPROVEMENT,D,7730.0,12.01,0.08,N,19.0,1
29,63634.0,OTHER,10.0,HOMEIMPROVEMENT,B,23036.0,21.47,0.36,Y,23.0,0
41,64278.0,OWN,1.0,MEDICAL,G,23697.0,13.98,0.37,Y,12.0,1
32,11111.0,MORTGAGE,1.0,VENTURE,C,18626.0,22.2,1.68,N,17.0,0
28,108901.0,OTHER,9.0,MEDICAL,E,20924.0,8.67,0.19,N,22.0,0
52,68251.0,MORTGAGE,4.0,DEBTCONSOLIDATION,F,28709.0,,0.42,Y,21.0,0
33,70258.0,RENT,7.0,HOMEIMPROVEMENT,A,16722.0,14.18,0.24,Y,23.0,0
39,21408.0,RENT,5.0,EDUCATION,A,4755.0,,0.22,N,2.0,0
34,34002.0,RENT,5.0,EDUCATION,F,8826.0,14.68,0.26,N,18.0,0
51,93274.0,MORTGAGE,6.0,MEDICAL,F,5880.0,,0.06,N,7.0,0
52,116181.0,OWN,0.0,HOMEIMPROVEMENT,B,11123.0,11.72,0.1,N,28.0,0
36,87674.0,MORTGAGE,2.0,DEBTCONSOLIDATION,G,33549.0,7.82,0.38,N,16.0,0
43,86963.0,RENT,10.0,MEDICAL,A,29636.0,10.4,0.34,N,21.0,0
49,86432.0,OTHER,4.0,EDUCATION,D,10707.0,,0.12,N,24.0,0
32,77925.0,OWN,6.0,DEBTCONSOLIDATION,D,23015.0,6.67,0.3,Y,20.0,0
35,25360.0,MORTGAGE,5.0,MEDICAL,G,15121.0,12.1,0.6,N,19.0,0
21,112379.0,OTHER,0.0,PERSONAL,D,32903.0,21.39,0.29,N,14.0,0
36,103762.0,OTHER,8.0,EDUCATION,D,7011.0,14.21,0.07,N,19.0,0
51,26847.0,RENT,2.0,EDUCATION,G,22139.0,8.44,0.82,N,26.0,1
62,57565.0,RENT,,DEBTCONSOLIDATION,B,7891.0,11.85,0.14,N,22.0,0
27,27456.0,OTHER,6.0,PERSONAL,F,12785.0,22.82,0.47,N,7.0,0
22,80982.0,OWN,,PERSONAL,D,16047.0,5.97,0.2,N,13.0,0
31,92393.0,MORTGAGE,0.0,HOMEIMPROVEMENT,D,2823.0,16.13,0.03,N,27.0,0
39,113287.0,OWN,0.0,HOMEIMPROVEMENT,F,33179.0,16.28,0.29,Y,2.0,0
35,109242.0,OWN,10.0,VENTURE,E,31491.0,21.11,0.29,N,20.0,1
33,90239.0,MORTGAGE,0.0,EDUCATION,B,33928.0,12.83,0.38,N,16.0,0
35,93230.0,MORTGAGE,,VENTURE,G,999.0,12.92,0.01,Y,22.0,0
62,49959.0,MORTGAGE,3.0,PERSONAL,A,15789.0,22.67,0.32,N,4.0,0
52,25058.0,OWN,0.0,DEBTCONSOLIDATION,C,17993.0,5.85,0.72,N,15.0,0
49,61492.0,OWN,0.0,MEDICAL,F,18504.0,16.23,0.3,N,25.0,0
31,62672.0,MORTGAGE,8.0,HOMEIMPROVEMENT,G,31496.0,17.91,0.5,N,19.0,0
34,79592.0,OTHER,7.0,MEDICAL,E,3915.0,7.04,0.05,Y,2.0,0
37,88391.0,OTHER,4.0,EDUCATION,F,1604.0,18.12,0.02,N,17.0,0
47,66849.0,MORTGAGE,1.0,PERSONAL,G,11889.0,17.16,0.18,Y,29.0,0
42,72313.0,OWN,6.0,VENTURE,G,11128.0,5.71,0.15,Y,28.0,0
33,33488.0,MORTGAGE,,DEBTCONSOLIDATION,D,32912.0,20.55,0.98,N,21.0,0
49,91308.0,RENT,0.0,MEDICAL,F,11372.0,16.76,0.12,N,25.0,0
52,98652.0,OTHER,10.0,MEDICAL,C,13551.0,21.92,0.14,N,6.0,1
64,108563.0,OTHER,8.0,MEDICAL,A,14037.0,16.57,0.13,N,26.0,1
34,77192.0,OTHER,0.0,HOMEIMPROVEMENT,A,31052.0,12.98,0.4,N,16.0,0
26,119451.0,MORTGAGE,2.0,VENTURE,A,16950.0,16.39,0.14,Y,21.0,0
34,104391.0,RENT,5.0,HOMEIMPROVEMENT,A,31848.0,20.79,0.31,Y,2.0,0
61,119615.0,OTHER,3.0,HOMEIMPROVEMENT,B,33599.0,12.92,0.28,N,12.0,0
57,114594.0,RENT,1.0,HOMEIMPROVEMENT,B,15973.0,12.95,0.14,N,17.0,0
63,81449.0,OWN,4.0,HOMEIMPROVEMENT,C,11772.0,7.26,0.14,N,7.0,1
30,75387.0,OWN,9.0,EDUCATION,E,14598.0,15.45,0.19,N,28.0,0
48,83509.0,OTHER,0.0,EDUCATION,E,20765.0,,0.25,N,2.0,1
50,26975.0,OWN,0.0,HOMEIMPROVEMENT,A,9036.0,12.15,0.33,Y,5.0,0
44,52392.0,MORTGAGE,10.0,DEBTCONSOLIDATION,G,28944.0,6.12,0.55,N,16.0,0
43,23305.0,OWN,5.0,VENTURE,C,11182.0,16.17,0.48,N,11.0,0
38,86215.0,MORTGAGE,10.0,EDUCATION,B,16394.0,6.41,0.19,N,6.0,0
21,31961.0,OWN,8.0,PERSONAL,D,16326.0,6.99,0.51,N,28.0,0
41,10228.0,RENT,9.0,VENTURE,C,1251.0,6.35,0.12,Y,7.0,0
39,91179.0,OWN,6.0,HOMEIMPROVEMENT,E,12390.0,10.48,0.14,N,11.0,1
52,102891.0,RENT,9.0,HOMEIMPROVEMENT,F,26025.0,14.62,0.25,N,22.0,0
27,117864.0,MORTGAGE,3.0,MEDICAL,A,12288.0,16.02,0.1,N,29.0,1
44,93544.0,OWN,7.0,MEDICAL,E,24120.0,,0.26,N,15.0,0
28,33474.0,OWN,0.0,VENTURE,E,17056.0,17.8,0.51,N,5.0,0
53,13979.0,RENT,4.0,VENTURE,F,6595.0,19.32,0.47,N,6.0,0
42,56343.0,OWN,1.0,VENTURE,B,19378.0,16.15,0.34,N,8.0,0
24,10739.0,MORTGAGE,10.0,MEDICAL,F,10428.0,11.5,0.97,N,20.0,0
44,114825.0,RENT,2.0,DEBTCONSOLIDATION,F,13950.0,6.24,0.12,N,17.0,0
27,29558.0,MORTGAGE,9.0,HOMEIMPROVEMENT,C,22284.0,22.09,0.75,N,8.0,0
35,47817.0,OTHER,3.0,EDUCATION,E,13848.0,22.83,0.29,N,20.0,0
64,61799.0,MORTGAGE,0.0,VENTURE,E,7045.0,7.16,0.11,N,11.0,0
34,102182.0,RENT,4.0,EDUCATION,D,30122.0,12.87,0.29,N,4.0,0
20,48154.0,MORTGAGE,9.0,PERSONAL,B,27509.0,9.34,0.57,N,26.0,0
41,42272.0,OWN,5.0,EDUCATION,A,6772.0,15.13,0.16,N,2.0,0
22,47339.0,MORTGAGE,10.0,EDUCATION,C,6808.0,14.09,0.14,N,12.0,0
57,89796.0,OWN,0.0,PERSONAL,F,19479.0,9.24,0.22,N,27.0,1
33,16594.0,RENT,3.0,PERSONAL,G,19871.0,21.6,1.2,N,22.0,1
55,23185.0,OWN,1.0,HOMEIMPROVEMENT,D,22215.0,21.32,0.96,N,14.0,1
37,22572.0,MORTGAGE,0.0,VENTURE,C,13862.0,,0.61,N,2.0,0
60,115784.0,OTHER,4.0,HOMEIMPROVEMENT,C,30113.0,18.23,0.26,N,21.0,0
37,27569.0,OWN,,PERSONAL,G,14058.0,11.63,0.51,N,28.0,0
22,92509.0,OTHER,10.0,PERSONAL,A,21539.0,12.31,0.23,N,28.0,1
29,79753.0,OTHER,0.0,MEDICAL,C,7305.0,14.11,0.09,N,5.0,0
58,83184.0,OTHER,7.0,EDUCATION,E,9740.0,16.8,0.12,N,2.0,0
20,27519.0,OTHER,1.0,DEBTCONSOLIDATION,B,20036.0,13.15,0.73,N,11.0,0
46,41953.0,MORTGAGE,4.0,HOMEIMPROVEMENT,F,19211.0,10.26,0.46,N,5.0,0
46,29804.0,OWN,2.0,EDUCATION,E,24438.0,20.89,0.82,N,8.0,1
30,86286.0,RENT,5.0,DEBTCONSOLIDATION,G,26352.0,10.39,0.31,N,7.0,0
24,75537.0,RENT,5.0,PERSONAL,D,26101.0,16.53,0.35,N,12.0,0
26,27275.0,OWN,7.0,HOMEIMPROVEMENT,D,29138.0,18.07,1.07,N,6.0,0
38,83418.0,RENT,10.0,HOMEIMPROVEMENT,G,15104.0,16.52,0.18,N,7.0,1
48,72068.0,OWN,4.0,MEDICAL,G,6542.0,18.81,0.09,N,19.0,0
34,73344.0,MORTGAGE,4.0,HOMEIMPROVEMENT,A,4835.0,,0.07,Y,14.0,0
54,88284.0,OWN,4.0,EDUCATION,C,11550.0,12.41,0.13,N,4.0,1
56,42601.0,MORTGAGE,8.0,EDUCATION,D,4465.0,15.36,0.1,N,3.0,0
31,37575.0,OWN,1.0,DEBTCONSOLIDATION,E,19038.0,20.92,0.51,N,6.0,0
49,62705.0,OTHER,2.0,HOMEIMPROVEMENT,A,5125.0,22.65,0.08,Y,23.0,0
39,65221.0,OTHER,3.0,VENTURE,B,31987.0,20.72,0.49,N,26.0,0
56,42369.0,MORTGAGE,6.0,HOMEIMPROVEMENT,B,8963.0,7.64,0.21,N,12.0,0
22,54617.0,RENT,9.0,EDUCATION,B,10688.0,5.93,0.2,Y,10.0,0
28,68315.0,OTHER,,PERSONAL,B,19828.0,,0.29,N,11.0,1
60,25317.0,OWN,0.0,DEBTCONSOLIDATION,A,15408.0,12.67,0.61,N,15.0,0
58,66109.0,RENT,2.0,EDUCATION,F,4518.0,7.64,0.07,N,11.0,0
45,38318.0,RENT,9.0,VENTURE,C,17817.0,17.51,0.46,N,8.0,0
21,112508.0,MORTGAGE,6.0,EDUCATION,A,20440.0,21.45,0.18,N,23.0,0
42,51239.0,RENT,7.0,HOMEIMPROVEMENT,E,33443.0,,0.65,N,4.0,0
42,97704.0,MORTGAGE,1.0,DEBTCONSOLIDATION,F,9324.0,23.03,0.1,Y,14.0,1
